"LH_AnimalID","LH_AnimalCode","Sex","FirstDate","MiguelCorrected","MiguelComments"
"Alcatraz","Alc","M","2016-01-14","",""
"Manhattan","Manh","F","2016-02-11","",""
"Schnauzli","Schn","F","2016-02-11","",""
"Bermuda","Ber","M","2016-02-29","",""
"Java","Java","F","2016-03-28","",""
"Umbrella","Umb","M","2016-10-19","",""
"Robin","Rob","M","2016-10-20","",""
"Reindeer","Rein","F","2016-11-01","",""
"Renee","Rene","F","2016-11-01","",""
"Louise","Loui","F","2016-11-09","",""
"Gabillou","Gabi","F","2016-11-14","",""
"Dillon","Dil","M","2016-12-05","",""
"Luan","Lua","M","2016-12-19","",""
"Dewey","Dewe","F","2017-01-04","",""
"Tyler","Tyl","M","2017-05-22","",""
"New male (look like Rio)",NA,"M","2017-06-22","",""
"Dokos","Dok","M","2017-08-22","",""
"Feniks","Fen","M","2017-09-01","",""
"Kommunis","Kom","M","2017-09-04","",""
"Cameron","Cam","M","2017-10-05","",""
"Aarhus","Aar","M","2017-10-09","",""
"Rocky","Roc","M","2017-10-09","",""
"Uranium City","Ura","M","2017-10-09","",""
"Goose","Goos","F","2017-10-10","",""
"Goose","Goos","F","2017-10-10","",""
"Lavander","Lava","F","2017-10-11","",""
"Mokcha","Mokc","F","2017-10-13","",""
"Ischia","Isc","M","2017-10-16","",""
"Ndiki","Ndik","F","2017-10-16","",""
"Timber","Timb","F","2017-10-16","",""
"Jelly","Jell","F","2017-10-19","",""
"Margarita","Mar","M","2017-10-25","",""
"Jersey","Jers","F","2017-10-26","",""
"Daartagnan","Daa","M","2017-11-02","",""
"Nantucket","Nan","M","2017-11-02","",""
"Nihau","Niha","F","2017-11-06","",""
"Dexter","Dext","F","2017-11-30","",""
"Corfu",NA,NA,"2017-12-23","",""
"Doreen","Dore","F","2017-12-29","",""
"Puntag","Pun","M","2018-03-02","",""
"Bali","Bali","F","2018-04-09","",""
"Easter","East","F","2018-04-09","",""
"Fiji","Fiji","F","2018-04-12","",""
"Kodiak","Kodi","F","2018-04-12","",""
"Kookoolegit","Koo","M","2018-04-12","",""
"Blup blup","Blu","M","2018-04-18","",""
"Cusco","Cus","M","2018-05-21","",""
"Oscar","Osc","M","2018-06-07","",""
"Benedict","Ben","M","2018-06-08","",""
"Laila","Lail","F","2018-06-11","",""
"Aathabasca","Aat","M","2018-10-26","",""
"Mimiek","Mimi","F","2018-10-26","",""
"Pofferthie","Poff","F","2018-10-26","",""
"Skemer","Skem","F","2018-11-01","",""
"Ncoko","Ncok","F","2018-11-02","",""
"Oerwoud","Oerw","F","2018-11-09","",""
"Dixon","Dix","M","2018-11-11","",""
"Ghidigidi","Ghi","M","2018-11-12","",""
"Gilane","Gil","M","2018-11-20","",""
"Dunston",NA,NA,"2018-11-24","",""
"Dalton","Dal","M","2018-11-28","",""
"Yelowstone","Yelo","F","2018-12-04","",""
"Reenboog","Reen","F","2018-12-12","",""
"Larry","Lar","M","2018-12-15","",""
"George","Geo","M","2019-03-18","",""
"Washington Babylon","Was","M","2019-03-18","",""
"Fluister","Flu","M","2019-04-30","",""
"Kekeke","Kek","M","2019-05-31","",""
"Lipsy","Lip","M","2019-06-01","",""
"Ouagadougou","Oua","M","2019-06-03","",""
"Dastard","Das","M","2019-11-01","",""
"Lampshade","Lamp","F","2019-11-07","",""
"Tasty flavours","Tas","M","2019-12-04","",""
"Tambacounda","Tam","M","2020-05-15","",""
"Utrecht","Utr","M","2020-05-15","",""
"Vladivostok","Vla","M","2020-05-28","",""
"Flensburg","Fle","M","2020-06-16","",""
"Warnemünde","War","M","2020-08-24","",""
"Aaalva","Aaa","M","2020-10-08","",""
"Shongololo","Sho","M","2020-10-13","",""
"Diamond","Dia","M","2020-10-29","",""
"Light","Lig","M","2020-10-29","",""
"Awash","Awa","M","2020-11-03","",""
"Xenia","Xeni","F","2020-11-03","",""
"Appel","App","M","2020-11-04","",""
"Papp","Papp","F","2020-11-04","",""
"Gibela","Gib","M","2020-11-12","",""
"Poppie","Popp","F","2020-11-12","",""
"Yonne","Yon","M","2020-11-12","",""
"Oupa","Oup","M","2020-11-13","",""
"Gusha","Gus","M","2020-11-16","",""
"Ndumiso","Ndum","F","2020-11-16","",""
"Riversdale","Riv","M","2020-11-16","",""
"Ghandaghanda","Gha","M","2020-11-17","",""
"Ouma","Ouma","F","2020-11-18","",""
"Helikopter","Heli","F","2020-11-19","",""
"Nkunzi","Nkun","F","2020-11-19","",""
"Roeslare","Roes","F","2020-11-19","",""
"Dazzle","Dazz","F","2020-11-20","",""
"Eish","Eis","M","2020-11-21","",""
"Griffin","Gri","M","2020-11-23","",""
