bad_name,main_group,good_name,full_name,sex,notes
 Soc,Baie Dankie,Soc,Socotora,M,
sirk,Baie Dankie,Sirk,Sirkus,F,
Baby Siel 2017,Baie Dankie,Sirk,Sirkus,F,
Baby Riss 2017,Baie Dankie,Rus,Rustig,,
Baby Siel 2018,Baie Dankie,Baby Siel 2018,Baby Siel 2018,,
Chou-chou,Baie Dankie,Enge,Engels,F,
Enge (Chou),Baie Dankie,Enge,Engels,F,
Lboks,Baie Dankie,Gese,Gesels,F,
LBoks,Baie Dankie,Gese,Gesels,F,
 Lblind,Baie Dankie,LBlind,Lblind,F,
Little Blind,Baie Dankie,LBlind,Little blind,F,
LBlind ,Baie Dankie,LBlind,Little blind,F,
lBlind ,Baie Dankie,LBlind,Little blind,F,
 LBlind ,Baie Dankie,LBlind,Little blind,F,
Little blind,Baie Dankie,LBlind,Little blind,F,
 Nyo ,Baie Dankie,Nyo,Nyoni,M,
Nyo ,Baie Dankie,Nyo,Nyoni,M,
Nyoni,Baie Dankie,Nyo,Nyoni,M,
Base,Baie Dankie,Bas,Base,M,
Bas ,Baie Dankie,Bas,Base,M,
hlo,Baie Dankie,Hlo,Hlo,M,
 hlo,Baie Dankie,Hlo,Hlo,M,
Hle ,Baie Dankie,Hlo,Hlo,M,
 Hlo,Baie Dankie,Hlo,Hlo,M,
Hle,Baie Dankie,Hlo,Hlo,M,
Hlo ,Baie Dankie,Hlo,Hlo,M,
Bin,Baie Dankie,Bin/Kom,Bin/Kom,M,
Fenix,Baie Dankie,Fen,Fenix,M,
Fen ,Baie Dankie,Fen,Fenix,M,
Che ,Baie Dankie,Che,Chernobyl,M,
Pal ,Baie Dankie,Pal,Pale,M,
Pale ,Baie Dankie,Pal,Pale,M,
 Baby Snor 2017,Baie Dankie,Sari,Sari,F,
Sari ,Baie Dankie,Sari,Sari,F,
Baby Snor 2017,Baie Dankie,Sari,Sari,F,
Rhe ,Baie Dankie,Rhe,Rheban,M,
 mad,Baie Dankie,Mad,Madagascar,M,
mad,Baie Dankie,Mad,Madagascar,M,
 Mad,Baie Dankie,Mad,Madagascar,M,
Mad ,Baie Dankie,Mad,Madagascar,M,
Baby Miel 2014 ,Baie Dankie,Baby Miel 2018,Baby Miel 2018,unk,
Baby Miel 2018 ,Baie Dankie,Baby Miel 2018,Baby Miel 2018,unk,
Polka,Baie Dankie,Puol,Puol,F,
Polk,Baie Dankie,Puol,Puol,F,
Baby Puol 2019 ,Baie Dankie,Baby Puol 2019,Baby Puol 2019,unk,
Baby puol 2019 ,Baie Dankie,Baby Puol 2019,Baby Puol 2019,unk,
Pom ,Baie Dankie,Pom,Pomelo,M,
Baby Potj 2017,Baie Dankie,Pom,Pomelo,M,
Baby Rede 2017,Baie Dankie,Baby Rede 2017,Baby Rede 2017,,
Kauai,Baie Dankie,Kau,Kauai,,
kau ,Baie Dankie,Kau,Kauai,M,
Kau ,Baie Dankie,Kau,Kauai,M,
Bocold,Baie Dankie,Boc,Bocold,M,
BOC,Baie Dankie,Boc,Bocold,M,
 boc,Baie Dankie,Boc,Bocold,M,
Boc ,Baie Dankie,Boc,Bocold,M,
boc,Baie Dankie,Boc,Bocold,M,
Handi,Baie Dankie,Hand,Handi,M,
hand ,Baie Dankie,Hand,Handi,M,
Hand ,Baie Dankie,Hand,Handi,M,
nyo,Baie Dankie,Nyo,Nyoni,M,
Nyo ,Baie Dankie,Nyo,Nyoni,M,
 Roo,Baie Dankie,Roo,Rooikat,M,
 Polk,Baie Dankie,Puol,Puol,F,
Polk,Baie Dankie,Puol,Puol,F,
Puol ,Baie Dankie,Puol,Puol,F,
Polka ,Baie Dankie,Puol,Puol,F,
Polka,Baie Dankie,Puol,Puol,F,
Baby Riss 2018,Baie Dankie,Baby Riss 2018,Baby Riss 2018,,
Heilweis,Baie Dankie,Hei,Heilweis,M,
Adder ,Baie Dankie,Add,Adder,M,
 Polka,Baie Dankie,Puol,Puol,F,
Polka ,Baie Dankie,Puol,Puol,F,
eina,Baie Dankie,Eina,Eina,,
Oort ,Baie Dankie,Oort,Oortjies,,
 Oort,Baie Dankie,Oort,Oortjies,,
Oortje,Baie Dankie,Oort,Oortjies,,
oortjies,Baie Dankie,Oort,Oortjies,,
Baby Ouli 2015,Baie Dankie,Oort,Oortjies,,
oort,Baie Dankie,Oort,Oortjies,,
Oortjies ,Baie Dankie,Oort,Oortjies,,
Oortjies,Baie Dankie,Oort,Oortjies,,
 Oortjies,Baie Dankie,Oort,Oortjies,,
nooi,Baie Dankie,Nooi,Nooiens,F,
nurk,Baie Dankie,Nurk,Nurks,F,
 Lblind,Baie Dankie,LBlind,Little blind/JL,F,
Lblind,Baie Dankie,LBlind,Little blind/JL,F,
 Adder,Baie Dankie,Add,Adder,M,
 Add,Baie Dankie,Add,Adder,M,
Ard ,Baie Dankie,Ard,Ardig,M,
Aal ,Baie Dankie,Aal,Aalwyn,M,
Aalw,Baie Dankie,Aal,Aalwyn,M,
Aal.,Baie Dankie,Aal,Aalwyn,M,
Ardi,Baie Dankie,Ard,Ardig,M,
Add ,Baie Dankie,Add,Adder,M,
Adder,Baie Dankie,Add,Adder,M,
Baby Aapi  2017,Baie Dankie,Aan,Aantreklik,,
 Baby Aapi 2017,Baie Dankie,Aan,Aantreklik,,
vin ,Baie Dankie,Vin,Vincent,M,
Vin ,Baie Dankie,Vin,Vincent,M,
Okuncane,Baie Dankie,Oku,Okuncane,M,
Oku ,Baie Dankie,Oku,Okuncane,M,
 Oku ,Baie Dankie,Oku,Okuncane,M,
Au,Noha,Auc,Auckland,M,
Au ,Noha,Auc,Auckland,M,
Auc,Noha,Auc,Auckland,M,
Ba,Noha,Bab,Babelas (M30), M,
Bab ,Noha,Bab,Babelas (M30), M,
 Bab,Noha,Bab,Babelas (M30), M,
Bab (Bab),Noha,Bab,Babelas (M30), M,
Safari ,Baie Dankie,Safa,Safari,F,
Bab (M30),Noha,Bab,Babelas (M30), M,
Baby Bela 2018 ,Noha,Baby Bela 2018,Baby Bela 2018,,
Gala ,Noha,Gala,Galati,F,
Galati,Noha,Gala,Galati,F,
Baby Gaya 2015,Noha,Gala,Galati,F,
Gabi ,Noha,Gabi,Gabilou,F,
Gabilou,Noha,Gabi,Gabilou,F,
gabi,Noha,Gabi,Gabilou,F,
Baby Gaya 2016,Noha,Gabi,Gabilou,F,
Gan ,Noha,Gan,Gangtok,M,
Gangtok,Noha,Gan,Gangtok,M,
Green,Noha,Gree,Greenbay,F,
Gris ,Noha,Gris,Griselles,F,
Grise,Noha,Gris,Griselles,F,
Griselles,Noha,Gris,Griselles,F,
Gree ,Noha,Gree,Greenbay,F,
Gang,Noha,Gan,Gangtok,M,
Baby Gaya 2017,Noha,Gan,Gangtok,M,
Baby Lima 2018,Noha,Baby Lima 2018,Baby Lima 2018,,
Baby Pret 2014,Noha,Pro,Propiano,M,
Pye ,Noha,Pye,Pyeongchang,M,
Prat ,Noha,Prat,Pratella,F,
Pratella,Noha,Prat,Pratella,F,
Pyeo,Noha,Pye,Pyeongchang,M,
Baby Pret 2017,Noha,Pye,Pyeongchang,M,
Baby Renn 2017,Noha,Rev,Revdanda,,
Baby Reva 2018,Noha,Rey,Reykjavik,,
Baby Riss 2015,Baie Dankie,Rat,Ratel,M,
