"AnimalID","LH_AnimalCode","Age_yr","Age_class"
"Vroutjie","Vrou",NA,NA
"Vryheid","Vry",NA,NA
"Vulkaan","Vul",10.3,"adult"
"Warnem�Nde","War",NA,NA
"Washingtonbabylon","Was",NA,NA
"Watnou","Watn",NA,NA
"Wavyears","WavyEars",NA,NA
"Wesley","Wes",NA,NA
"Whidbey","Whid",NA,NA
"Whiskers","Whis",NA,NA
"Wierdo","Wier",NA,NA
"Wietnie","Wiet",NA,NA
"William","Wil",NA,NA
"Wolfie","Wol",NA,NA
"Wurm","Wur",10.37,"adult"
"Xai","Xai",NA,NA
"Xaixai","Xaix",NA,NA
"Xalapa","Xala",9.28,"adult"
"Xaltepec","Xal",5.27,"adult"
"Xar�S","Xar",1.29,"juvenile"
"Xenia","Xeni",2.3,"juvenile"
"Xeres","Xer",11.26,"adult"
"Xian","Xian",10.32,"adult"
"Xiashan","Xia",6.28,"adult"
"Xihau","Xih",1.34,"juvenile"
"Xinji","Xin",5.35,"adult"
"Xinpu","Xinp",4.33,"adult"
"Xinyi","Xiny",8.29,"adult"
"Xiushan","Xiu",NA,NA
"Xopo","Xop",2.25,"juvenile"
"Xoxocotla","Xox",12.3,"adult"
"Yalu","Yalu",NA,NA
"Yamp","Yam",1.27,"juvenile"
"Yamuna","Yamu",6.26,"adult"
"Yangtze","Yan",9.09,"adult"
"Yaounde","Yaou",NA,NA
"Yara","Yara",5.29,"adult"
"Yazoo","Yaz",4.28,"sub-adult"
"Yell","Yel",NA,NA
"Yellowstone","Yelo",4.23,"adult"
"Yenissei","Yeni",NA,NA
"Yodo","Yodo",1.39,"juvenile"
"Yonne","Yon",2.28,"juvenile"
"Yoogali","Yoog",10.44,"adult"
"Yster","Yst",NA,NA
"Yub","Yub",1.17,"juvenile"
"Yukon","Yuko",6.3,"adult"
"Yzeron","Yze",5.27,"adult"
"Zaire","Zair",NA,NA
"Zambezi","Zam",NA,NA
"Zankara","Zank",9.3,"adult"
"Zara","Zara",NA,NA
"Zave","Zav",NA,NA
"Zeerust","Zee",NA,NA
"Zeia","Zeia",NA,NA
"Zeus","Zeu",NA,NA
"Zhengzhou","Zhe",10.33,"adult"
"Zhukovsky","Zhu",7.28,"adult"
"Zinkwazi","Zink",8.41,"adult"
"Zion","Zio",11.25,"adult"
"Zuni","Zuni",NA,NA
"Zurich","Zur",NA,NA
