"AnimalID","LH_AnimalCode","Age_yr","Age_class"
"Barry","Barr",NA,NA
"Base","Bas",NA,NA
"Beirut","Beir",4.23,"adult"
"Belabela","Bela",8.25,"adult"
"Beminde","Bemi",NA,NA
"Benedict","Ben",NA,NA
"Bermuda","Ber",NA,NA
"Bethlehem","Bet",1.29,"juvenile"
"Bigears",NA,NA,NA
"Bingo","Bin",NA,NA
"Blacktits",NA,NA,NA
"Blupblup","Blu",NA,NA
"Bocold","Boc",NA,NA
"Bogota","Bogo",NA,NA
"Boks","Bok",NA,NA
"Bongani","Bon",NA,NA
"Boston","Bos",9.34,"adult"
"Bougainville","Bou",NA,NA
"Brasilia","Bras",NA,NA
"Brisbane","Bri",7.3,"adult"
"Brucespringsteen","Bru",NA,NA
"Bryan","Bry",NA,NA
"Bugeyes",NA,NA,NA
"Bukubuku","Buk",NA,NA
"Bullebak","Bul",10.42,"adult"
"Bushy","Bush",NA,NA
"Byron","Byr",NA,NA
"Cameron","Cam",NA,NA
"Camilla","Cami",NA,NA
"Cancun","Can",NA,NA
"Capri","Cap",NA,NA
"Cayman","Cay",NA,NA
"Charles","Cha",NA,NA
"Chernobyl","Che",NA,NA
"Chiloe","Chil",NA,NA
"Cindylauper","Cind",NA,NA
"Circe","Circ",NA,NA
"Clarence","Clar",NA,NA
"Collin","Col",NA,NA
"Colorado","Col",NA,NA
"Cone","Con",NA,NA
"Corfu",NA,NA,NA
"Cuba","Cuba",NA,NA
"Curaco","Cur",NA,NA
"Curious",NA,NA,NA
"Cusco","Cus",NA,NA
"Daartagnan","Daa",5.32,"adult"
"Daenerys","Daen",NA,NA
"Dagga","Dagg",NA,NA
"Daila","Dail",1.25,"juvenile"
"Daisy","Dais",NA,NA
"Dalton","Dal",4.24,"sub-adult"
"Danielle","Dani",1.25,"juvenile"
"Danube","Dan",NA,NA
"Dapper","Dap",NA,NA
"Darwin","Dar",NA,NA
"Dastard","Das",3.31,"juvenile"
"Dazzle","Dazz",2.26,"juvenile"
"Deja","Deja",2.21,"juvenile"
"Delilah","Deli",10.4,"adult"
"Delta","Delt",2.2,"juvenile"
"Delux","Del",1.2,"juvenile"
"Derrick","Der",1.2,"juvenile"
"Dewey","Dewe",6.14,"adult"
"Dexter","Dext",5.24,"adult"
"Diamond","Dia",2.32,"juvenile"
"Diana","Dian",NA,NA
"Digby","Digb",9.14,"adult"
"Dillon","Dil",6.23,"adult"
"Dion","Dio",7.21,"adult"
"Disco","Dis",1.25,"juvenile"
"Dixon","Dix",4.29,"sub-adult"
"Dodgyknee","Dodg",NA,NA
"Dokos","Dok",NA,NA
"Donsig","Don",NA,NA
"Doreen","Dore",5.16,"adult"
"Doublespot","Dou",NA,NA
"Downlip","Dow",NA,NA
"Drew","Drew",NA,NA
"Dublin","Dub",NA,NA
"Duckie","Duc",NA,NA
"Dulcina","Dulc",NA,NA
"Dunston",NA,4.25,NA
"Dwergie","Dwe",NA,NA
"Easter","East",NA,NA
"Edward","Edw",NA,NA
"Eier","Eie",1.3,"juvenile"
"Eina","Eina",8.37,"adult"
"Eish","Eis",2.25,"juvenile"
"Elbar","Elba",NA,NA
"Ellesmere","Elle",NA,NA
"Elton","Elt",NA,NA
"Elvispresley","Elv",NA,NA
"Emma","Emma",NA,NA
"Engel","Enge",NA,NA
"Ermelo","Erm",NA,NA
"Ertjies","Ert",NA,NA
"Etosha","Eto",NA,NA
"Evanescence","Evan",NA,NA
"Everest","Eve",NA,NA
"Faroe","Far",8.34,"adult"
"Feekie","Feek",NA,NA
"Feniks","Fen",NA,NA
"Fergie","Ferg",NA,NA
"Fiji","Fiji",NA,NA
"Flatty","Fla",NA,NA
"Flensburg","Fle",NA,NA
"Fluister","Flu",NA,NA
"Foei","Foei",NA,NA
"Formentera","Form",NA,NA
"Freyja","Frey",NA,NA
"Fudu","Fud",NA,NA
"Furryglen","Fur",NA,NA
"Gaaf","Gaa",8.36,"adult"
"Gabillou","Gabi",6.28,"adult"
"Gagasa","Gaga",NA,NA
"Galapagos","Gala",NA,NA
"Galati","Gala",7.35,"adult"
"Galeria","Gale",1.3,"juvenile"
"Gangtok","Gan",5.28,"adult"
"Garoua","Gar",10.39,"adult"
"Gasket","Gas",NA,NA
"Gaya","Gaya",11.3,"adult"
"Geleza","Gele",10.42,"adult"
"Gelosi","Gel",NA,NA
"Geneva","Gene",NA,NA
"George","Geo",NA,NA
"Gesels","Gese",NA,NA
"Ghandaghanda","Gha",2.26,"juvenile"
"Ghangaan","Ghan",NA,NA
"Ghida","Ghid",8.33,"adult"
"Ghidigidi","Ghi",4.29,"sub-adult"
"Ghozololo","Gho",10.32,"adult"
"Gibela","Gib",2.28,"juvenile"
"Gigolo","Gig",NA,NA
"Gilane","Gil",4.26,"sub-adult"
"Gino","Gin",NA,NA
