"LH_RowNumber","AnimalCode","AnimalName","OtherID"
198,"Yoog","Yoogali",NA
199,"Vale","Valerie","Squishy"
200,"BDag12","Baby Dag 2012",NA
201,"BCam12","Baby Cam 2012",NA
202,"Gele","Geleza",NA
203,"Bul","Bullebak",NA
204,"Nurk","Nurks",NA
205,"Siel","Siele",NA
206,"BEmm12","Baby Emm 2012",NA
207,"Deli","Delilah","Rainbow"
208,"BTip12","Baby Tip 2012",NA
209,"Iji","Ijinja",NA
210,"Gar","Garoua",NA
211,"Tir","Tirroan",NA
212,"Hey","Heyi",NA
213,"Jill","Jillin",NA
214,"Mun","Mungunya",NA
215,"BBog12","Baby Bog 2012",NA
216,"Wur","Wurm",NA
217,"BUpp12","Baby Upp 2012",NA
218,"Onb","Onbeskof",NA
219,"Hipp","Hippie",NA
220,"Nyo","Nyoni",NA
221,"Unw","Unwabo",NA
222,"Alsi","Alsiende",NA
223,"Rhe","Rheban",NA
224,"BLau12","Baby Lau 2012",NA
225,"Mevr","Mevrou",NA
226,"BKai12","Baby Kai 2012",NA
227,"Ndon","Ndonsa",NA
228,"Zhe","Zhengzhou",NA
229,"Gho","Ghozololo",NA
230,"Xian","Xian",NA
231,"Ruby","Ruby",NA
232,"Laur","Laurel",NA
233,"Vul","Vulkaan",NA
234,"Bush","Bushy",NA
235,"Indi","India",NA
236,"Rak","Rakker",NA
237,"Hlo","Hlokoloza","Hlebe"
238,"Piep","Pieperig",NA
239,"Yeni","Yenissei",NA
240,"Kaya","Kaya",NA
241,"Aare","Aare",NA
242,NA,"Little Z",NA
243,"Zair","Zaire",NA
244,"And","Andrew",NA
245,"Noa","Noah",NA
246,"Yalu","Yalu",NA
247,"Pear","Pearl","Little Almond"
248,"Mara","Mara","Spotty arm"
249,"Fud","Fudu",NA
250,"Can","Cancun",NA
251,"BHam13","Baby Ham 2013",NA
252,"BBem13","Baby Beminde 2013",NA
253,"BGag13","Baby Gaga 2013",NA
254,"Bos","Boston",NA
255,"Jix","Jixi",NA
256,"Uji","Uji",NA
257,"Ilon","Ilonga",NA
258,"Aapi","Aapie",NA
259,"Avo","Avon","Appy"
260,"Zank","Zankara",NA
261,"BWie13","Baby Wietnie 2013",NA
262,"Gla","Glastonbury",NA
263,"Mba","Mbazwane",NA
264,"Renn","Rennes",NA
265,"Inkw","Inkwazi",NA
266,"Prai","Praia",NA
267,"Xala","Xalapa",NA
268,"Potj","Potjie",NA
269,"Zan","Zanzibar",NA
270,"Cami","Camilla",NA
271,"Mis","Mississipi",NA
272,"Digb","Digby","Rhiannon"
273,"Yan","Yangtze",NA
274,"Shi","Shitface",NA
275,"Oli","Oliver",NA
276,"Rose","Rose-Mary","Daria"
277,"Moon","Moonie","Baby Tang 2012"
278,"Jag","Jagerbomb",NA
279,"Dow","DownLip",NA
280,"Tere","Tere","F10"
281,"Lef","Lefty",NA
282,"Umz","Umzali",NA
283,"Dap","Dapper",NA
284,"Ada","Adam","Uplip"
285,"Ken","Kenneth","Joe"
286,"Lia","Liam",NA
287,"Igg","Iggy",NA
288,"Jenn","Jenny","OldCamilla"
289,"Dais","Daisy",NA
290,"Joe","Joe",NA
291,"Van","Vance",NA
292,"Hum","Humusha",NA
293,"Zink","Zinkwazi",NA
294,"Mad","Madagascar",NA
295,"BYao14","Baby Yaou 2014",NA
296,"BSuz14","Baby Suzy 2014",NA
297,"Arn","Arno",NA
298,"BNal14","Baby Nala 2014",NA
299,"Eina","Eina",NA
300,"Ginq","Ginqinka",NA
301,"Hal","Halfy",NA
302,"Hlu","Hluhluwe",NA
303,"Rup","Rupert",NA
304,"BJen14","Baby Jenn 2014",NA
305,"Gaa","Gaaf",NA
306,"Ples","Plesier",NA
307,"Mat","Mathimula",NA
308,"BF1014","BabyTere (F10) 2014",NA
309,"BMie14","Baby Mielies 2014",NA
310,"Jed","Jeddah",NA
311,"Mee","Meerkat",NA
312,"BVic14","Baby Vict 2014",NA
313,"Far","Faroe",NA
314,"Form","Formentera",NA
315,NA,"Kangaroo",NA
316,"Krak","Krakatoa",NA
317,"Lanc","Lancey",NA
318,"Roxa","Roxanne",NA
319,"Tou","Toulouse",NA
320,"Ghid","Ghida",NA
321,"Hei","Heilweis",NA
322,"Nyan","Nyanga",NA
