"LH_RowNumber","AnimalCode","AnimalName","OtherID"
823,"BBDewe22","BBDewe22",NA
824,"Yaki","Yakima",NA
825,"Yuba","Yuba",NA
826,"Olyf","Olyf",NA
827,"Atj","Atjar",NA
828,"BBBali22","BBBali22",NA
829,"BBMedu22","BBMedu22",NA
830,"Apo","Apollo",NA
831,"BBGran22","BBGran22",NA
832,"Oase","Oase",NA
833,"Prui","Pruin",NA
834,"Prag","Prague",NA
835,"Pers","Persephone",NA
836,"Naga","Nagapie",NA
837,"Udi","Udine","Upland"
838,"Kno","Knoffel",NA
839,"Nca","Ncane",NA
840,"BBNdaw22","BBNdaw22",NA
841,"Ndin","Ndini",NA
842,"BBDaen22","BBDaen22",NA
843,"Ekse","Ekse",NA
844,"Her","Herskep",NA
845,"Gal","Galiano",NA
846,"Made","Madeline",NA
847,"BBNiha22","BBNiha22",NA
848,"Ros","Rosyn",NA
849,"Goa","Goat",NA
850,"Luna","Luna",NA
851,"Xati","Xativa",NA
852,"Ris","Rishikesh",NA
853,"Gab","Gabaroni",NA
854,"Rooi","Rooibos",NA
855,"Giji","Gijima",NA
856,"Ott","Otter","Ottline"
857,"Lotu","Lotus",NA
858,"Ves","Vesuvio",NA
859,"BBHera22","BBHera22",NA
860,"Bob","Bobjaan","Roundlips;MrOverbite"
861,"Pikk","Pikkewyn",NA
862,"Cai","Cairo",NA
863,"Hav","Havana","FakeGeorge"
864,"San","Sango","Na"
865,"Tho","Thor","Half Tailed Guy"
866,"Tot","Totsiens","White dot"
867,"Win","Winter","Fluffy"
868,"Bra","Braai","Cheseled nose"
869,"Dri","Driehoek","Triangular Face"
870,"Spl","Splotch","PatchyEyerings"
871,"Boo","Boom","O-Family Face male"
872,"BBXala23","BBXala23",NA
873,"BBXimp23","BBXimp23",NA
874,"BBGran23","BBGran23",NA
875,"BBNkos23","BBNkos23",NA
876,"BBRegi23","BBRegi23",NA
877,"BBGree23","BBGree23",NA
878,NA,"Right Notch Guy",NA
879,"BBNaal23","BBNaal23",NA
880,"BBPann23","BBPann23",NA
881,"BBAare23","BBAare23",NA
882,"BBAara23","BBAara23",NA
883,"BBYara23","BBYara23",NA
884,"BBFrey23","BBFrey23",NA
885,"BBMedu23","BBMedu23",NA
886,"BBPand23","BBPand23",NA
887,"Axom","Axomamma",NA
888,"BBCirc23","BBCirc23",NA
889,"BBPrat23","BBPrat23",NA
890,"BBYelo23","BBYelo23",NA
891,"BBGinq23","BBGinq23",NA
892,"BBSkem23","BBSkem23",NA
893,"BBDore23","BBDore23",NA
894,"BBYamu23","BBYamu23",NA
895,"BBInhl23","BBInhl23",NA
896,"BBGubh23","BBGubh23",NA
897,"BBMack23","BBMack23",NA
898,"BBHoley23","BBHoley23",NA
899,"BBSari23","BBSari23",NA
900,"BBNdon23","BBNdon23",NA
901,"BBSirk23","BBSirk23",NA
902,"BBYuko23","BBYuko23",NA
903,"BBNooi23","BBNooi23",NA
904,"BBPuol23","BBPuol23",NA
905,"BBNiha23","BBNiha23",NA
906,"BBBali23","BBBali23",NA
