"LH_RowNumber","AnimalCode","AnimalName","Sex"
569,"Ghi","Ghidigidi","M"
229,"Gho","Ghozololo","M"
639,"Gib","Gibela","M"
48,"Gig","Gigolo","M"
855,"Giji","Gijima","F"
578,"Gil","Gilane","M"
66,"Gin","Gino","M"
300,"Ginq","Ginqinka","F"
119,"Giy","Giya","M"
262,"Gla","Glastonbury","M"
815,"Glo","Gloed","M"
849,"Goa","Goat","M"
725,"Gobe","Gobela","F"
493,"Godu","Goduka","F"
549,"Goe","Goed","M"
724,"Gom","Gomonqo","M"
497,"Goos","Goose","F"
164,"Gov","Govu","M"
345,"Gran","Granada","F"
621,"Gree","Greenbay","F"
655,"Gri","Griffin","M"
814,"Grim","Grimsby","F"
588,"Gris","Griselles","F"
744,"Griv","Grive","F"
92,"Gro","Grote","M"
820,"Gua","Guadalajara","M"
470,"Guat","Guatemala","F"
581,"Guba","Gubane","F"
323,"Gubh","Gubha","F"
668,"Gub","Gubudu","M"
4,"Gugu","Gugu","F"
60,"Gun","Guns and Roses","M"
467,"Guny","Gunya","F"
643,"Gus","Gusha","M"
8,"Guy","Guyaquil","M"
555,"Guz","Guzunga","M"
731,"Haai","Haaigranaat","F"
40,"Haki","Hakie","F"
301,"Hal","Halfy","M"
61,"Hamb","Hamba","F"
101,"Ham","Hamlet","M"
361,"Han","Handi","M"
105,"Har","Harry","M"
431,"Has","Hasie","M"
863,"Hav","Havana","M"
794,"Haw","Hawai","M"
518,"Hee","Heelal","M"
34,"Heer","Heerlik","F"
321,"Hei","Heilweis","M"
184,"Hele","Heleza","F"
649,"Heli","Helikopter","F"
362,"Hel","Helmet","M"
732,"Hem","Hemel","M"
373,"Hen","Henderson","M"
797,"Hera","Hera","F"
844,"Her","Herskep","M"
212,"Hey","Heyi","M"
550,"Hia","Hiasint","M"
5,"Hib","Hibe","M"
475,"Hibi","Hibiscus","F"
219,"Hipp","Hippie","F"
165,"Hlek","Hleka","F"
237,"Hlo","Hlokoloza","M"
302,"Hlu","Hluhluwe","M"
196,"Hol","Hola","M"
687,"Hole","Holey","F"
473,"Hond","Hondjie","F"
379,"Huge","Huge","F"
292,"Hum","Humusha","M"
112,"Hwa","Hwahwaza","M"
