"AnimalID","Natal"
"Freyja","Yes"
"Fudu","No"
"Furryglen","No"
"Gaaf","Yes"
"Gabillou","Yes"
"Gagasa","Yes"
"Galapagos","Yes"
"Galati","Yes"
"Galeria","Yes"
"Gangtok","Yes"
"Garoua","Yes"
"Gasket","Yes"
"Gaya","Yes"
"Geleza","Yes"
"Gelosi","Yes"
"Geneva","Yes"
"George","No"
"Gesels","Yes"
"Ghandaghanda","Yes"
"Ghangaan","Yes"
"Ghida","Yes"
"Ghidigidi","Yes"
"Ghozololo","Yes"
"Gibela","Yes"
"Gigolo","No"
"Gilane","Yes"
"Gino","Yes"
"Ginqinka","Yes"
"Giya","Yes"
"Glastonbury","Yes"
"Gobela","Yes"
"Goduka","Yes"
"Goed","Yes"
"Gollum","Yes"
"Gomonqo","Yes"
"Goose","Yes"
"Gosh","Yes"
"Govu","Yes"
"Granada","Yes"
"Greenbay","Yes"
"Greenland","Yes"
"Griffin","Yes"
"Griselles","Yes"
"Grive","Yes"
"Grote","Yes"
"Guatemala","Yes"
"Gubane","Yes"
"Gubha","Yes"
"Gubudu","Yes"
"Gugu","Yes"
"Gunsandroses","No"
"Gunya","Yes"
"Gusha","Yes"
"Guyaquil","Yes"
"Guzunga","Yes"
"Haaigranaat","Yes"
"Hakie","Yes"
"Halfy","Yes"
"Hamba","Yes"
"Hamlet","Yes"
"Handi","Yes"
"Harry","No"
"Hasie","Yes"
"Heart","Yes"
"Heelal","Yes"
"Heerlik","Yes"
"Heilweis","Yes"
"Heleza","Yes"
"Helikopter","Yes"
"Helmet","Yes"
"Hemel","Yes"
"Henderson","No"
"Hera","No"
"Heyi","Yes"
"Hiasint","Yes"
"Hibe","Yes"
"Hibiscus","Yes"
"Hippie","Yes"
"Hleka","Yes"
"Hlokoloza","Yes"
"Hluhluwe","Yes"
"Hola","Yes"
"Holey","Yes"
"Hondjie","Yes"
"Huge","Yes"
"Humusha","Yes"
"Hwahwaza","Yes"
"Ibissa","No"
"Iceland","Yes"
"Idwala","Yes"
"Ifu","Yes"
"Iggy","Yes"
"Ihlane","Yes"
"Ijinja","Yes"
"Ilonga","Yes"
"Imposter","Yes"
"India","Yes"
"Inhlanhla","Yes"
"Inkwazi","Yes"
"Inner","Yes"
"Intaba","Yes"
"Ireland","Yes"
"Ischia","Yes"
"Isilonda","Yes"
"Istanbul","Yes"
"Izulu","Yes"
"Jackie","Yes"
"Jagerbomb","No"
"Jakarta","Yes"
"Jalitah","Yes"
"Jamaica","Yes"
"James","No"
"Jane","Yes"
"Japan","No"
"Java","Yes"
"Jeddah","Yes"
"Jelly","Yes"
"Jenny","Yes"
"Jersey","Yes"
"Jiamusi","Yes"
"Jillin","Yes"
"Jimmyhendricks","No"
"Jinka","Yes"
"Jixi","Yes"
"Joe","Yes"
"Johannesburg","Yes"
"Juneau","Yes"
"Kaiki","Yes"
"Kangaroo","Yes"
"Karenzoid","Yes"
"Kate","Yes"
"Kauai","No"
"Kaya","Yes"
"Kekeke","No"
"Kenneth","Yes"
"Kergelen","No"
"Kies","Yes"
"Kilimanjaro","Yes"
"Kodiak","Yes"
"Kommunis","No"
"Koninging","Yes"
"Kookoolegit","Yes"
"Krakatoa","Yes"
"Kurtcubain","No"
"Kyle","Yes"
"Laila","Yes"
"Lampshade","Yes"
"Lancey","Yes"
"Larry","Yes"
"Laurel","Yes"
"Lausanne","Yes"
"Lavander","Yes"
"Lawrence","Yes"
"Lefty","Yes"
"Lekker","No"
"Lennon","Yes"
"Lewe","Yes"
"Lhassa","Yes"
"Liam","Yes"
"Liffey","No"
"Light","Yes"
"Lilly","Yes"
"Lima","Yes"
"Lionel","Yes"
"Lipsy","No"
"Littleballs","No"
"Littleblind","Yes"
"Littlenapoli","No"
"Littlenotch","Yes"
"Littleskollie","Yes"
"Littlez","Yes"
"Lizz","Yes"
"Lohihi","Yes"
"Loki","Yes"
"Lola","Yes"
"Lome","Yes"
"Louise","Yes"
"Luan","Yes"
"Lucifer","Yes"
"Lugano","Yes"
"Macedonia","No"
"Mackanzie","Yes"
"Madagascar","No"
"Madonna","Yes"
"Malawi","Yes"
"Mamoobi","Yes"
"Manhattan","Yes"
"Mara","Yes"
"Margarita","Yes"
"Martinique","Yes"
"Mass","Yes"
"Mathimula","Yes"
"Mbazwane","Yes"
"Mbila","Yes"
"Medjerda","No"
"Medusa","Yes"
"Meerkat","Yes"
"Mercury","Yes"
"Merlin","Yes"
"Mevrou","Yes"
"Mfolozi","Yes"
"Mhaori","Yes"
"Michaeljackson","No"
"Middag","Yes"
"Mielies","Yes"
"Milano","No"
"Mimiek","Yes"
"Minimj","Yes"
"Miskien","Yes"
"Mississipi","Yes"
"Mnandi","Yes"
"Modjadji","Yes"
"Moesa","Yes"
"Mokcha","Yes"
"Momo","No"
"Montreal","Yes"
