"AnimalID","Sex"
"Juneau","M"
"Kaiki","F"
"Karenzoid","F"
"Kate","F"
"Kauai","M"
"Kaya","F"
"Kekeke","M"
"Kenneth","M"
"Kergelen","M"
"Kies","M"
"Kilimanjaro","M"
"Kodiak","F"
"Kommunis","M"
"Koninging","F"
"Kookoolegit","M"
"Krakatoa","F"
"Kurtcubain","M"
"Kyle","M"
"Laila","F"
"Lampshade","F"
"Lancey","F"
"Larry","M"
"Laurel","F"
"Lausanne","F"
"Lavander","F"
"Lawrence","M"
"Lefty","M"
"Lekker","M"
"Lennon","M"
"Lewe","F"
"Lhassa","F"
"Liam","M"
"Liffey","M"
"Light","M"
"Lilly","F"
"Lima","F"
"Lionel","F"
"Lipsy","M"
"Lizz","F"
"Lohihi","F"
"Loki","F"
"Lola","F"
"Lome","M"
"Louise","F"
"Luan","M"
"Lucifer","M"
"Lugano","M"
"Macedonia","M"
"Mackanzie","F"
"Madagascar","M"
"Madonna","F"
"Malawi","M"
"Mamoobi","F"
"Manhattan","F"
"Mara","F"
"Margarita","M"
"Martinique","F"
"Mass","M"
"Mathimula","M"
"Mbazwane","M"
"Mbila","F"
"Medjerda","M"
"Medusa","F"
"Meerkat","M"
"Mercury","M"
"Merlin","M"
"Mevrou","F"
"Mfolozi","M"
"Mhaori","F"
"Michaeljackson","M"
"Middag","F"
"Mielies","F"
"Milano","M"
"Mimiek","F"
"Miskien","F"
"Mississipi","M"
"Mnandi","M"
"Modjadji","F"
"Moesa","F"
"Mokcha","F"
"Momo","M"
"Montreal","M"
"Mooi","F"
"Moonie","F"
"Mousse","M"
"Moya","F"
"Mpukuvane","M"
"Muis","M"
"Mungunya","M"
"Mvula","M"
"Naaldekoker","F"
"Naartjie","M"
"Nahoon","M"
"Nakhu","M"
"Nala","F"
"Namnam","F"
"Nantucket","M"
"Napoli","M"
"Ncoko","F"
"Ndanda","M"
"Ndawonya","F"
"Ndiki","F"
"Ndiza","M"
"Ndlovu","M"
"Ndondo","M"
"Ndonsa","F"
"Ndumiso","F"
"Nelson","M"
"Nessie","F"
"Neuchatel","M"
"Newton","M"
"Ngenakubo","M"
"Ngubu","M"
"Niese","F"
"Nihau","F"
"Nihiru","F"
"Nil","M"
"Nirtjies","F"
"Nkomo","M"
"Nkosikasi","F"
"Nkunzi","F"
"Noah","M"
"Noktober","M"
"Nonnitgie","M"
"Nooiens","F"
"Nooit","M"
"Nora","F"
"Nuclides","F"
"Nugget","M"
"Nukke","M"
"Nul","M"
"Numbies","F"
"Nurks","F"
"Nuuskierig","M"
"Nyala","F"
"Nyanga","F"
"Nyoni","M"
"Oahu","F"
"Obelisk","M"
"Obsessie","F"
"Oerwoud","F"
"Ogies","M"
"Okavango","M"
"Okefenokee","M"
"Okuncane","M"
"Oliver","M"
"Olona","M"
"Omelet","M"
"Onbeskof","M"
"Oom","M"
"Oortjies","F"
"Oscar","M"
"Ouagadougou","M"
"Oulik","F"
"Ouma","F"
"Oupa","M"
"Padkos","F"
"Pale","M"
"Palmela","F"
"Pandora","F"
"Pannekoekie","F"
"Papp","F"
"Paris","F"
"Patlansky","M"
"Pearl","F"
"Pianosa","M"
"Pieperig","F"
"Piesang","M"
"Pik","M"
"Pikito","M"
"Pink","F"
"Pitcairn","M"
"Pixsel","M"
"Pizza","M"
"Plainjane","M"
"Plesier","F"
"Poeding","M"
"Pofferthie","F"
"Pointy","M"
"Pomelo","M"
"Poppie","F"
"Potjie","F"
"Praia","F"
"Pratella","F"
"Pretoria","F"
"Primavera","F"
"Prinses","F"
"Propriano","M"
"Pruszkow","M"
"Puerto","M"
"Puntag","M"
"Puolka","F"
"Purper","M"
"Puymerl","F"
"Pyeongchang","M"
"Queen","F"
"Quito","M"
"Rabat","F"
"Radja","M"
"Rafaela","F"
"Rakker","M"
"Rambouillet","M"
"Raspberry","F"
"Ratel","M"
"Redelik","F"
"Redhot","M"
"Reenboog","F"
"Reenval","M"
"Regina","F"
"Reindeer","F"
"Renee","F"
"Rennes","F"
"Reno","M"
"Renoster","F"
"Reva","F"
"Revdanda","M"
"Reykjavik","M"
"Rheban","M"
"Richard","M"
"Ridder","M"
"Rimini","M"
"Rimpel","F"
"Rio","M"
"Rioja","F"
"Rissiepit","F"
"Rivas","F"
"Riversdale","M"
"Rivier","F"
"Riyadh","M"
"Robben","F"
"Robin","M"
"Rochdale","M"
"Rocky","M"
"Roeslare","F"
"Roma","F"
"Rooikat","M"
"Rosemary","F"
"Roslin","F"
"Roxanne","F"
"Ruby","F"
"Rupert","M"
"Rusk","M"
"Rustig","F"
"Ryan","M"
"Safari","F"
"Samoa","F"
"Sampion","F"
"Sari","F"
"Schnauzli","F"
"Selenge","M"
"Seychelles","M"
"Shakespeare","M"
"Shitface","M"
"Shongololo","M"
"Siele","F"
"Sigaret","M"
"Sion","M"
"Sirkus","F"
"Sitrus","F"
"Skemer","F"
"Skhumbuzo","M"
"Skin","F"
"Skollie","M"
"Slang","M"
"Sma","M"
"Smashy","F"
"Snorretjie","F"
"Solomon","M"
"Spampounkoeki","F"
"Spanspek","F"
"Spek","M"
"Spook","M"
"Spotted","M"
"Styx","M"
"Sumbawa","F"
"Suzy","F"
"Sylinder","M"
"Symetric","M"
"Talinn","M"
"Tambacounda","M"
"Tanganika","F"
"Tannie","F"
"Tastyflavours","M"
"Tchakalaka","M"
"Teddibeer","M"
"Tere","F"
"Tevere","M"
"Thames","M"
"Theodore","M"
"Tiki","M"
"Timber","F"
"Tipies","F"
"Tirroan","M"
"Tonga","F"
"Toronto","M"
"Tortuga","F"
"Toulouse","M"
"Troia","F"
"Tugela","M"
"Tunis","M"
"Tweed","M"
"Tyler","M"
"Ububhibhi","M"
"Udupi","F"
"Uji","M"
"Ulaanbaatar","M"
"Ulaka","F"
"Ulsan","M"
"Ulundi","M"
"Umbrella","M"
"Umnak","F"
"Umtata","M"
"Umzali","M"
"Unwabo","M"
"Uppsala","F"
"Uraniumcity","M"
"Utrecht","M"
"Uvac","M"
"Vakie","M"
"Valerie","F"
"Vance","M"
"Vancouver","M"
"Vascorossi","M"
"Venezia","F"
"Victoria","F"
"Vincent","M"
"Vladivostok","M"
"Voldemort","M"
"Vroutjie","F"
"Vryheid","M"
"Vulkaan","M"
"Warnemünde","M"
"Washingtonbabylon","M"
"Watnou","F"
"Wesley","M"
"Whidbey","F"
"Whiskers","F"
"Wierdo","F"
"Wietnie","F"
"William","M"
"Wolfie","M"
"Wurm","M"
"Xai","M"
"Xaixai","F"
"Xalapa","F"
"Xaltepec","M"
"Xarès","M"
"Xenia","F"
"Xeres","M"
"Xian","F"
"Xiashan","M"
